,title,nan_count_label,nan_list
3,MERT ENGEM SZERETSZ,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
8,VAD SZIRTTETŐN ÁLLUNK,2,"['std_lenAll', 'rstd_lenAll']"
10,A FEHÉR CSÖND,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
14,IMA BAÁL ISTENHEZ,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
28,A TISZA-PARTON,12,"['rate_clearAll', 'mean_lenAll', 'med_lenAll', 'q1_lenAll', 'q3_lenAll', 'min_lenAll', 'max_lenAll', 'range_lenAll', 'MADmean_lenAll', 'MADmed_lenAll', 'std_lenAll', 'rstd_lenAll']"
33,A LELKEK TEMETŐJE,2,"['std_lenAll', 'rstd_lenAll']"
36,TALÁLKOZÁS GINA KÖLTŐJÉVEL,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
37,A MAGYAR UGARON,2,"['std_lenAll', 'rstd_lenAll']"
45,SÓHAJTÁS A HAJNALBAN,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
47,A CSÓKOK ÁTKA,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
51,RETTEGEK AZ ÉLETTŐL,2,"['std_lenAll', 'rstd_lenAll']"
61,MEGÖLTEM EGY PILLANGÓT,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
72,ELILLANT ÉVEK SZŐLŐHEGYÉN,2,"['std_lenAll', 'rstd_lenAll']"
104,ÉN NEM VAGYOK MAGYAR?,10,"['std_nLine_lg', 'rstd_nLine_lg', 'std_nWord_lg', 'rstd_nWord_lg', 'std_nSyll_lg', 'rstd_nSyll_lg', 'std_nShortS_lg', 'rstd_nShortS_lg', 'std_nLongS_lg', 'rstd_nLongS_lg']"
114,SÁRBAN VESZETT HÓ,2,"['std_lenAll', 'rstd_lenAll']"
120,VÁRÁS A TAVASZ-KUNYHÓBAN,12,"['rate_clearAll', 'mean_lenAll', 'med_lenAll', 'q1_lenAll', 'q3_lenAll', 'min_lenAll', 'max_lenAll', 'range_lenAll', 'MADmean_lenAll', 'MADmed_lenAll', 'std_lenAll', 'rstd_lenAll']"
